"Au sample deposited by Zr for 20 min   "
TotalNumOfRegions=4
Region=1
"O 1s"
Npoints=241
     182.391     17714.000
     182.366     17782.000
     182.341     17784.700
     182.316     17870.000
     182.291     17665.300
     182.266     17637.300
     182.241     17403.300
     182.216     17416.700
     182.191     17285.300
     182.166     17169.300
     182.141     17026.000
     182.116     16991.300
     182.091     16974.000
     182.066     16993.300
     182.041     16906.700
     182.016     16518.700
     181.991     16621.300
     181.966     16362.700
     181.941     16568.000
     181.916     16161.300
     181.891     16230.000
     181.866     16214.700
     181.841     16063.300
     181.816     16144.700
     181.791     15990.000
     181.766     15883.300
     181.741     15824.000
     181.716     15702.700
     181.691     15470.000
     181.666     15752.700
     181.641     15650.000
     181.616     15400.700
     181.591     15531.300
     181.566     15318.700
     181.541     15232.000
     181.516     14966.700
     181.491     14822.000
     181.466     14974.700
     181.441     14920.700
     181.416     14762.700
     181.391     14630.700
     181.366     14673.300
     181.341     14588.000
     181.316     14554.700
     181.291     14402.000
     181.266     14656.000
     181.241     14457.300
     181.216     14440.700
     181.191     14206.700
     181.166     14113.300
     181.141     14368.700
     181.116     14159.300
     181.091     14051.300
     181.066     14214.700
     181.041     14182.700
     181.016     14146.700
     180.991     14022.000
     180.966     13984.000
     180.941     13871.300
     180.916     14060.000
     180.891     13982.700
     180.866     13890.700
     180.841     13701.300
     180.816     13897.300
     180.791     13724.000
     180.766     13786.700
     180.741     13760.000
     180.716     13960.700
     180.691     13739.300
     180.666     13636.000
     180.641     13818.700
     180.616     13625.300
     180.591     13751.300
     180.566     13721.300
     180.541     13773.300
     180.516     13520.000
     180.491     13554.700
     180.466     13554.000
     180.441     13546.000
     180.416     13642.700
     180.391     13515.300
     180.366     13544.700
     180.341     13508.000
     180.316     13533.300
     180.291     13601.300
     180.266     13515.300
     180.241     13526.000
     180.216     13398.700
     180.191     13449.300
     180.166     13473.300
     180.141     13500.700
     180.116     13516.000
     180.091     13262.700
     180.066     13409.300
     180.041     13252.700
     180.016     13260.700
     179.991     13161.300
     179.966     13081.300
     179.941     13215.300
     179.916     13122.000
     179.891     12944.000
     179.866     12897.300
     179.841     13126.700
     179.816     12720.700
     179.791     12834.000
     179.766     12834.000
     179.741     12672.000
     179.716     12562.700
     179.691     12624.000
     179.666     12636.700
     179.641     12512.000
     179.616     12481.300
     179.591     12428.700
     179.566     12137.300
     179.541     12267.300
     179.516     12124.700
     179.491     12049.300
     179.466     12164.000
     179.441     12064.700
     179.416     11596.700
     179.391     11714.700
     179.366     11830.700
     179.341     11564.000
     179.316     11398.000
     179.291     11230.000
     179.266     11314.700
     179.241     11238.700
     179.216     11102.700
     179.191     11128.000
     179.166     11094.000
     179.141     10913.300
     179.116     10748.000
     179.091     10859.300
     179.066     10632.700
     179.041     10516.000
     179.016     10420.700
     178.991     10662.000
     178.966     10366.700
     178.941     10358.000
     178.916     10176.000
     178.891     10214.000
     178.866      9975.330
     178.841     10012.700
     178.816      9949.330
     178.791      9884.000
     178.766      9841.330
     178.741      9860.670
     178.716      9744.000
     178.691      9656.000
     178.666      9810.670
     178.641      9758.670
     178.616      9535.330
     178.591      9586.670
     178.566      9720.670
     178.541      9376.000
     178.516      9616.670
     178.491      9698.670
     178.466      9522.670
     178.441      9666.670
     178.416      9456.000
     178.391      9498.670
     178.366      9529.330
     178.341      9580.000
     178.316      9356.670
     178.291      9372.000
     178.266      9408.000
     178.241      9359.330
     178.216      9525.330
     178.191      9277.330
     178.166      9421.330
     178.141      9376.000
     178.116      9413.330
     178.091      9290.670
     178.066      9420.670
     178.041      9427.330
     178.016      9401.330
     177.991      9482.000
     177.966      9308.670
     177.941      9368.670
     177.916      9411.330
     177.891      9419.330
     177.866      9288.670
     177.841      9318.670
     177.816      9366.000
     177.791      9504.000
     177.766      9450.670
     177.741      9248.670
     177.716      9333.330
     177.691      9412.000
     177.666      9280.670
     177.641      9375.330
     177.616      9392.670
     177.591      9333.330
     177.566      9519.330
     177.541      9310.000
     177.516      9306.670
     177.491      9536.000
     177.466      9318.000
     177.441      9252.670
     177.416      9276.000
     177.391      9360.670
     177.366      9468.670
     177.341      9290.670
     177.316      9286.670
     177.291      9454.000
     177.266      9406.000
     177.241      9258.670
     177.216      9391.330
     177.191      9416.000
     177.166      9472.670
     177.141      9412.670
     177.116      9408.000
     177.091      9490.670
     177.066      9351.330
     177.041      9386.670
     177.016      9256.000
     176.991      9494.000
     176.966      9376.000
     176.941      9398.000
     176.916      9380.670
     176.891      9313.330
     176.866      9213.330
     176.841      9361.330
     176.816      9378.670
     176.791      9492.000
     176.766      9444.000
     176.741      9484.670
     176.716      9409.330
     176.691      9375.330
     176.666      9403.330
     176.641      9479.330
     176.616      9390.670
     176.591      9333.330
     176.566      9448.670
     176.541      9358.000
     176.516      9428.670
     176.491      9387.330
     176.466      9473.330
     176.441      9408.670
     176.416      9526.000
     176.391      9448.670
     176.366      9417.330
     176.341      9205.330
     176.316      9404.670
     176.291      9413.330
     176.266      9410.670
     176.241      9476.670
     176.216      9450.670
     176.191      9336.000
     176.166      9415.330
     176.141      9456.670
     176.116      9423.330
     176.091      9272.670
     176.066      9420.000
     176.041      9523.330
     176.016      9466.670
     175.991      9517.330
     175.966      9351.330
     175.941      9314.000
     175.916      9392.000
     175.891      9397.330
     175.866      9458.000
     175.841      9344.670
     175.816      9404.000
     175.791      9305.330
     175.766      9386.670
     175.741      9466.670
     175.716      9415.330
     175.691         0.000
Region=4
"Au 4f"
Npoints=247
      91.591      6446.000
      91.541      6563.330
      91.491      6538.670
      91.441      6628.000
      91.391      6490.000
      91.341      6536.670
      91.291      6633.330
      91.241      6527.330
      91.191      6556.000
      91.141      6715.330
      91.091      6742.000
      91.041      6822.670
      90.991      6704.000
      90.941      6815.330
      90.891      6814.000
      90.841      6865.330
      90.791      7029.330
      90.741      6905.330
      90.691      6893.330
      90.641      6955.330
      90.591      7088.670
      90.541      7050.000
      90.491      7170.000
      90.441      7228.000
      90.391      7136.670
      90.341      7273.330
      90.291      7212.670
      90.241      7321.330
      90.191      7504.670
      90.141      7382.000
      90.091      7396.000
      90.041      7458.000
      89.991      7434.670
      89.941      7599.330
      89.891      7835.330
      89.841      7776.670
      89.791      7850.670
      89.741      7843.330
      89.691      8017.330
      89.641      8214.670
      89.591      8286.000
      89.541      8428.670
      89.491      8355.330
      89.441      8688.670
      89.391      8702.670
      89.341      8857.330
