B.E.(eV)           Raw Intensity       Peak Sum            Background          Peak 1              Peak 2              Peak 3              Peak 4              difference
 402.77             6376.9              7551.114            6988.506            7064.42             7127.91             7325.014            6999.289           -1174.214 
 402.72             6434.63             7600.031            6989.783            7067.648            7133.842            7367.82             7000.071           -1165.401 
 402.67             6543.71             7657.178            6990.943            7070.834            7139.896            7418.507            7000.77            -1113.468 
 402.62             6686.85             7723.925            6991.877            7073.876            7145.986            7478.421            7001.272           -1037.075 
 402.57             6591.87             7801.706            6992.514            7076.703            7152.058            7548.981            7001.506           -1209.835 
 402.52             6470.71             7892.843            6993.351            7079.818            7158.64             7632.473            7001.963           -1422.133 
 402.47             7063.5              7999.133            6994.442            7083.28             7165.813            7730.667            7002.7             -935.6328 
 402.42             7297.59             8121.072            6994.298            7085.604            7172.127            7844.014            7002.221           -823.4819 
 402.37             7629.34             8261.485            6993.665            7087.544            7178.378            7975.284            7001.273           -632.1455 
 402.32             7991.54             8421.977            6992.337            7088.896            7184.411            8126.03             6999.649           -430.4365 
 402.27             8582.14             8604.591            6990.25             7089.607            7190.239            8298.213            6997.282           -22.45117 
 402.22             8903.18             8810.398            6986.925            7089.199            7195.463            8492.817            6993.693            92.78125 
 402.17             9395.61             9041.608            6982.922            7088.243            7200.757            8711.934            6989.441            354.002 
 402.12             9686.24             9299.269            6977.883            7086.389            7205.909            8956.455            6984.166            386.9717 
 402.07             9923.92             9584.322            6972.227            7084.06             7211.499            9227.158            6978.285            339.5977 
 402.02             10085.9             9897.591            6966.062            7081.378            7217.87             9524.619            6971.908            188.3096 
 401.97             10946.2             10238.64            6959.545            7078.506            7225.437            9848.139            6965.19             707.5625 
 401.92             11175.7             10605.35            6951.218            7073.997            7233.089            10195.24            6956.673            570.3506 
 401.87             11808.7             10997.77            6942.395            7069.179            7242.572            10565.53            6947.667            810.9346 
 401.82             12552.5             11412.3             6932.23             7063.215            7253.539            10954.91            6937.331            1140.197 
 401.77             12862               11846.25            6920.492            7055.89             7266.411            11359.99            6925.427            1015.753 
 401.72             13235.8             12296.22            6908.082            7048.118            7282.824            11776.66            6912.86             939.583 
 401.67             13554.7             12757.89            6894.865            7039.783            7303.568            12199.64            6899.494            796.8076 
 401.62             13668               13226.57            6880.955            7031.022            7329.867            12623.11            6885.441            441.4277 
 401.57             14062.4             13696.38            6866.779            7022.28             7363.366            13039.94            6871.129            366.0244 
 401.52             14572.9             14161.09            6851.749            7013.004            7405.011            13442.35            6855.969            411.8105 
 401.47             14621.5             14613.31            6835.622            7002.979            7456.176            13821.3             6839.718            8.193359 
 401.42             15070.8             15047.54            6819.36             6993.216            7519.766            14169.3             6823.337            23.2627 
 401.37             15632.9             15456.52            6802.126            6982.938            7597.135            14476.83            6805.989            176.3809 
 401.32             15679.5             15833.24            6783.681            6971.976            7690.276            14734.6             6787.435           -153.7422 
 401.27             15553.1             16173.86            6765.101            6961.513            7802.941            14935.95            6768.75            -620.7559 
 401.22             15880.5             16474.23            6746.745            6952.036            7938.026            15074.11            6750.294           -593.7266 
 401.17             16141.5             16731.44            6727.668            6942.786            8097.469            15143.07            6731.121           -589.9434 
 401.12             16288.7             16945.84            6708.005            6934.153            8284.399            15139.94            6711.365           -657.1396 
 401.07             16293.4             17119.96            6687.994            6926.699            8501.635            15064.35            6691.266           -826.5625 
 401.02             16839.1             17259.45            6667.932            6921.188            8752.476            14918.46            6671.118           -420.3496 
 400.97             16565               17370.32            6646.687            6917.08             9037.941            14705.56            6649.791           -805.3164 
 400.92             16942.1             17463.51            6625.971            6916.905            9362.031            14433.48            6628.996           -521.4063 
 400.87             17156.9             17548.02            6604.424            6920.392            9725.286            14108.24            6607.374           -391.1191 
 400.82             17310.2             17634.96            6582.383            6929.249            10128.62            13738.98            6585.259           -324.7598 
 400.77             17808.8             17735.54            6559.976            6945.464            10572.97            13334.25            6562.781            73.26172 
 400.72             18189.6             17859.47            6536.48             6970.604            11056.48            12902.61            6539.218            330.1289 
 400.67             18470.1             18016.96            6512.141            7007.889            11578.1             12452.58            6514.813            453.1367 
 400.62             18911.3             18217.44            6487.165            7061.291            12135.76            11992.11            6489.774            693.8633 
 400.57             19364.2             18468.38            6461.215            7134.961            12724.58            11528.72            6463.763            895.8164 
 400.52             19343.2             18777.26            6434.265            7234.604            13340.24            11068.46            6436.754            565.9375 
 400.47             20064.3             19150.88            6407.302            7367.795            13976.65            10618.6             6409.734            913.4258 
 400.42             20195.2             19593.21            6378.776            7541.053            14625.08            10182.25            6381.154            601.9922 
 400.37             20864               20110.47            6349.918            7765.122            15278.43            9764.429            6352.243            753.5313 
 400.32             21141.1             20704.85            6319.604            8049.317            15924.79            9367.672            6321.876            436.25 
 400.27             21906.3             21381.39            6288.646            8406.978            16554.81            8994.672            6290.869            524.9102 
 400.22             22985.5             22141.26            6256.024            8850.05             17154.72            8646.359            6258.2              844.2422 
 400.17             23025.9             22986.95            6221.083            9392.654            17711.67            8322.66             6223.212            38.95508 
 400.12             23911.4             23923.77            6185.983            10052.84            18215.09            8025.725            6188.067           -12.36719 
 400.07             24782.3             24951.21            6148.96             10843.88            18649.54            7753.676            6151               -168.9102 
 400.02             25302.2             26073.07            6110.04             11782.66            19003.14            7505.348            6112.038           -770.873 
 399.97             26529.2             27291.3             6069.954            12883.85            19264.96            7280.438            6071.911           -762.0977 
 399.92             28346.1             28607.96            6027.222            14160.17            19424.56            7075.753            6029.139           -261.8613 
 399.87             30087.7             30025.84            5980.604            15622.7             19474.27            6888.205            5982.483            61.85547 
 399.82             31566.1             31546.33            5930.253            17277.84            19410.93            6716.223            5932.094            19.76563 
 399.77             32725.3             33174.3             5876.706            19132.13            19235.51            6558.26             5878.511           -448.9961 
 399.72             34135               34909.17            5820.628            21182.66            18952.82            6413.186            5822.397           -774.1719 
 399.67             36042.9             36749.54            5761.489            23422.78            18569.45            6278.545            5763.225           -706.6367 
 399.62             38459.3             38689.68            5698.241            25839.12            18093.84            6151.498            5699.943           -230.3789 
 399.57             40986.7             40714.89            5629.813            28406.44            17536.99            6029.423            5631.483            271.8086 
 399.52             42575.8             42810.04            5555.962            31099.09            16910.71            5910.525            5557.6             -234.2344 
 399.47             45359.2             44950.11            5478.642            33879.6             16230.7             5795.485            5480.25             409.0859 
 399.42             47310.8             47102.59            5395.345            36704               15507.11            5680.588            5396.923            208.2148 
 399.37             48875.1             49232.5             5307.794            39526.29            14753.73            5566.521            5309.343           -357.4023 
 399.32             52408               51293.93            5216.798            42288.88            13983.88            5453.241            5218.319            1114.07 
 399.27             54580               53236.54            5118.228            44932.26            13203.4             5335.843            5119.721            1343.461 
 399.22             55358.8             55008.6             5014.919            47394.81            12425.6             5216.557            5016.386            350.2031 
 399.17             57174.6             56560.84            4909.767            49619.75            11661.45            5097.741            4911.208            613.7578 
 399.12             59014               57839.24            4800.603            51546.59            10915.66            4976.789            4802.019            1174.758 
 399.07             59776.8             58792.61            4687.368            53117.72            10194.94            4853.305            4688.76             984.1875 
 399.02             59900.7             59380.96            4572.302            54289.43            9505.54             4729.229            4573.669            519.7422 
 398.97             59444.2             59569.84            4456.739            55023.25            8853.046            4605.679            4458.083           -125.6445 
 398.92             59326.6             59337.18            4341.888            55295.27            8240.684            4483.673            4343.209           -10.57422 
 398.87             58361.6             58670.86            4227.04             55092.48            7668.798            4362.354            4228.339           -309.2539 
 398.82             57728.4             57576.34            4113.974            54419.54            7140.08             4243.394            4115.251            152.0586 
 398.77             56237.5             56068.57            4001.989            53292.47            6652.834            4125.994            4003.246            168.9258 
 398.72             53860.5             54180.59            3892.884            51745.13            6208.116            4011.884            3894.12            -320.0938 
 398.67             51852.8             51953.8             3788.517            49820.99            5805.765            3902.865            3789.733           -100.9961 
 398.62             49938               49434.48            3688.126            47568.77            5442.641            3798.127            3689.323            503.5156 
 398.57             47255.5             46679.83            3591.524            45047.92            5116.333            3697.451            3592.702            575.668 
 398.52             43776.5             43745.96            3500.325            42317.62            4825.421            3602.415            3501.484            30.53516 
 398.47             40927.4             40696.69            3416.2              39444.3             4568.975            3514.673            3417.341            230.707 
 398.42             37865.9             37586.61            3337.853            36485.58            4342.712            3432.904            3338.975            279.2891 
 398.37             33423.5             34469.03            3265.733            33497.62            4144.225            3357.541            3266.839           -1045.527 
 398.32             30620.4             31400.89            3202.743            30539.91            3973.906            3291.475            3203.832           -780.4902 
 398.27             28441.7             28419.92            3145.478            27652.8             3825.723            3231.285            3146.549            21.77734 
