B.E.(eV)           Raw Intensity       Peak Sum            Background          Peak 1              Peak 2              Peak 3              difference
 312.27             3113.62             3213.917            3207.342            3208.106            3212.59             3207.903           -100.2964 
 312.22             3193                3215.53             3208.927            3209.695            3214.198            3209.492           -22.53027 
 312.17             3131.98             3217.291            3210.66             3211.43             3215.953            3211.228           -85.31079 
 312.12             3134.74             3218.959            3212.3              3213.073            3217.615            3212.871           -84.21899 
 312.07             3373.02             3220.643            3213.955            3214.731            3219.293            3214.529            152.3774 
 312.02             3077.25             3222.749            3216.033            3216.812            3221.393            3216.609           -145.4985 
 311.97             3188.79             3224.364            3217.619            3218.401            3223.002            3218.199           -35.57373 
 311.92             2957.17             3226.18             3219.407            3220.192            3224.812            3219.99            -269.01 
 311.87             3096.68             3227.609            3220.807            3221.595            3226.235            3221.393           -130.9292 
 311.82             3305.01             3229.284            3222.452            3223.243            3227.904            3223.042            75.72607 
 311.77             3244.24             3231.328            3224.467            3225.261            3229.942            3225.06             12.91162 
 311.72             3138.74             3233.285            3226.395            3227.191            3231.893            3226.99            -94.54517 
 311.67             3120.26             3235.075            3228.155            3228.954            3233.677            3228.753           -114.8149 
 311.62             3021.23             3236.844            3229.894            3230.697            3235.44             3230.496           -215.6145 
 311.57             3031.11             3238.453            3231.473            3232.278            3237.042            3232.078           -207.343 
 311.52             3004.08             3240.086            3233.075            3233.884            3238.669            3233.684           -236.0063 
 311.47             2936.1              3241.681            3234.639            3235.451            3240.257            3235.251           -305.5806 
 311.42             3084.43             3243.163            3236.091            3236.906            3241.733            3236.706           -158.7334 
 311.37             3073.27             3244.906            3237.803            3238.621            3243.47             3238.422           -171.6365 
 311.32             3030.66             3246.64             3239.505            3240.326            3245.197            3240.127           -215.98 
 311.27             3098.97             3248.309            3241.143            3241.967            3246.859            3241.769           -149.3394 
 311.22             3087.49             3250.104            3242.906            3243.733            3248.647            3243.535           -162.6138 
 311.17             2777.8              3251.888            3244.659            3245.49             3250.425            3245.292           -474.0884 
 311.12             2938.42             3253.148            3245.886            3246.72             3251.678            3246.522           -314.728 
 311.07             2914.57             3254.683            3247.389            3248.226            3253.207            3248.029           -340.113 
 311.02             2905.37             3256.181            3248.855            3249.695            3254.698            3249.498           -350.811 
 310.97             3130.56             3257.667            3250.308            3251.151            3256.177            3250.955           -127.1069 
 310.92             3145.09             3259.544            3252.152            3252.999            3258.047            3252.803           -114.4543 
 310.87             3103.7              3261.458            3254.033            3254.883            3259.954            3254.688           -157.7585 
 310.82             2854.11             3263.313            3255.854            3256.708            3261.802            3256.512           -409.2029 
 310.77             2958.17             3264.747            3257.254            3258.111            3263.228            3257.916           -306.5769 
 310.72             3182.31             3266.361            3258.835            3259.695            3264.835            3259.5             -84.05078 
 310.67             3048.14             3268.368            3260.808            3261.671            3266.835            3261.477           -220.228 
 310.62             2918.65             3270.156            3262.561            3263.428            3268.616            3263.235           -351.5059 
 310.57             2885.45             3271.729            3264.1              3264.97             3270.181            3264.777           -386.2788 
 310.52             2883.6              3273.248            3265.584            3266.457            3271.693            3266.265           -389.6477 
 310.47             2750.59             3274.766            3267.067            3267.944            3273.204            3267.752           -524.1758 
 310.42             2929.91             3276.056            3268.322            3269.202            3274.487            3269.011           -346.1462 
 310.37             2925.9              3277.654            3269.884            3270.768            3276.077            3270.577           -351.7537 
 310.32             2948.15             3279.248            3271.443            3272.33             3277.664            3272.14            -331.0984 
 310.27             3039.44             3280.885            3273.043            3273.934            3279.293            3273.745           -241.4448 
 310.22             3068.61             3282.684            3274.806            3275.701            3281.084            3275.511           -214.0737 
 310.17             2886.57             3284.541            3276.627            3277.525            3282.934            3277.336           -397.9709 
 310.12             2875.98             3286.093            3278.142            3279.043            3284.478            3278.855           -410.1128 
 310.07             2809.43             3287.629            3279.641            3280.546            3286.005            3280.359           -478.1987 
 310.02             2955.99             3289.052            3281.026            3281.935            3287.42             3281.748           -333.0615 
 309.97             3159.54             3290.727            3282.664            3283.577            3289.088            3283.391           -131.187 
 309.92             3116.16             3292.759            3284.658            3285.574            3291.112            3285.389           -176.5991 
 309.87             2902.68             3294.728            3286.589            3287.509            3293.073            3287.325           -392.0483 
 309.82             2935.95             3296.339            3288.162            3289.086            3294.676            3288.902           -360.3892 
 309.77             2884.48             3298.011            3289.795            3290.722            3296.339            3290.539           -413.5308 
 309.72             3013.66             3299.598            3291.343            3292.274            3297.918            3292.092           -285.938 
 309.67             2910.12             3301.41             3293.116            3294.051            3299.722            3293.869           -391.2898 
 309.62             2836.88             3303.05             3294.717            3295.656            3301.354            3295.475           -466.1704 
 309.57             2855.43             3304.567            3296.194            3297.137            3302.862            3296.957           -449.1375 
 309.52             2604.84             3306.116            3297.704            3298.65             3304.403            3298.471           -701.2764 
 309.47             2814.91             3307.234            3298.781            3299.731            3305.512            3299.552           -492.324 
 309.42             2864.98             3308.706            3300.212            3301.166            3306.975            3300.988           -443.7256 
 309.37             2773.44             3310.263            3301.729            3302.687            3308.524            3302.51            -536.8235 
 309.32             2799.51             3311.665            3303.088            3304.051            3309.916            3303.875           -512.1548 
