B.E.(eV)           Raw Intensity       Peak Sum            Background          Peak 1              difference
 530.52             9443.6              9349.013            8581.865            9349.013            94.58691 
 530.47             9402.14             9290.593            8581.729            9290.593            111.5469 
 530.42             9303.46             9235.957            8581.598            9235.957            67.50293 
 530.37             9167.41             9184.95             8581.483            9184.95            -17.54004 
 530.32             9069.74             9137.468            8581.39             9137.468           -67.72754 
 530.27             8818.74             9093.382            8581.313            9093.382           -274.6416 
 530.22             8897.58             9052.532            8581.274            9052.532           -154.9521 
 530.17             8978.77             9014.824            8581.225            9014.824           -36.05469 
 530.12             8766.5              8980.053            8581.161            8980.053           -213.5527 
 530.07             8865                8948.109            8581.132            8948.109           -83.10938 
 530.02             8969.58             8918.787            8581.087            8918.787            50.79297 
 529.97             8550.7              8891.892            8581.025            8891.892           -341.1914 
 529.92             8798.88             8867.415            8581.03             8867.415           -68.53516 
 529.87             8583.72             8845.057            8580.995            8845.057           -261.3369 
 529.82             8710.97             8824.74             8580.995            8824.74            -113.7705 
 529.77             8751.05             8806.259            8580.975            8806.259           -55.20898 
 529.72             8826.31             8789.464            8580.947            8789.464            36.8457 
 529.67             8639.14             8774.252            8580.908            8774.252           -135.1123 
 529.62             8529.13             8760.512            8580.899            8760.512           -231.3818 
 529.57             8674.37             8748.105            8580.907            8748.105           -73.73535 
 529.52             8714.7              8736.875            8580.893            8736.875           -22.1748 
 529.47             8841.72             8726.716            8580.871            8726.716            115.0039 
 529.42             8633.79             8717.535            8580.83             8717.535           -83.74512 
 529.37             8660.74             8709.276            8580.821            8709.276           -48.53613 
 529.32             8599.23             8701.815            8580.809            8701.815           -102.585 
 529.27             8561.17             8695.085            8580.806            8695.085           -133.915 
 529.22             9005.99             8689                8580.809            8689                316.9902 
 529.17             8742.86             8683.43             8580.741            8683.43             59.43066 
 529.12             8914.82             8678.417            8580.716            8678.417            236.4033 
 529.07             8786.01             8673.837            8580.662            8673.837            112.1729 
 529.02             8767.95             8669.688            8580.63             8669.688            98.2627 
 528.97             8760.7              8665.899            8580.6              8665.899            94.80078 
 528.92             8498.77             8662.442            8580.571            8662.442           -163.6729 
 528.87             8312.99             8659.313            8580.584            8659.313           -346.3223 
 528.82             8542.11             8656.469            8580.627            8656.469           -114.3584 
 528.77             8566.43             8653.813            8580.633            8653.813           -87.38379 
 528.72             8375.12             8651.353            8580.636            8651.353           -276.2324 
 528.67             8490.71             8649.102            8580.668            8649.102           -158.3916 
 528.62             8565.77             8646.992            8580.683            8646.992           -81.22266 
 528.57             8792.24             8645.01             8580.685            8645.01             147.2305 
 528.52             8845.59             8643.118            8580.651            8643.118            202.4717 
 528.47             8624.68             8641.328            8580.609            8641.328           -16.64844 
 528.42             8573.53             8639.674            8580.602            8639.674           -66.14355 
 528.37             8389.06             8638.12             8580.604            8638.12            -249.0605 
 528.32             8412.89             8636.676            8580.634            8636.676           -223.7861 
 528.27             8400.55             8635.3              8580.66             8635.3             -234.75 
 528.22             8514.27             8633.991            8580.688            8633.991           -119.7217 
 528.17             8563.9              8632.728            8580.699            8632.728           -68.82715 
 528.12             8893.63             8631.511            8580.702            8631.511            262.1191 
 528.07             8550.65             8630.292            8580.652            8630.292           -79.6416 
 528.02             8477.58             8629.175            8580.657            8629.175           -151.5947 
 527.97             8422.72             8628.11             8580.674            8628.11            -205.3906 
 527.92             8472.71             8627.096            8580.698            8627.096           -154.3857 
 527.87             8331.07             8626.112            8580.716            8626.112           -295.042 
 527.82             8610.32             8625.185            8580.755            8625.185           -14.86426 
 527.77             8609.78             8624.247            8580.751            8624.247           -14.4668 
 527.72             8800.66             8623.338            8580.746            8623.338            177.3223 
 527.67             8482.83             8622.429            8580.711            8622.429           -139.5986 
 527.62             8730.27             8621.599            8580.727            8621.599            108.6709 
 527.57             8661.55             8620.756            8580.703            8620.756            40.79395 
 527.52             8553.49             8619.948            8580.69             8619.948           -66.45801 
 527.47             8677.41             8619.18             8580.694            8619.18             58.23047 
 527.42             8538.3              8618.416            8580.679            8618.416           -80.11621 
 527.37             8726.92             8617.696            8580.686            8617.696            109.2236 
 527.32             8540.12             8616.967            8580.662            8616.967           -76.84668 
 527.27             8534.69             8616.288            8580.669            8616.288           -81.59766 
 527.22             8539.77             8615.628            8580.676            8615.628           -75.8584 
 527.17             8718.37             8614.986            8580.683            8614.986            103.3838 
 527.12             8604.4              8614.335            8580.661            8614.335           -9.93457 
 527.07             8590.98             8613.718            8580.657            8613.718           -22.7373 
 527.02             8455.01             8613.119            8580.655            8613.119           -158.1094 
 526.97             8370.54             8612.558            8580.676            8612.558           -242.0176 
 526.92             8314.38             8612.025            8580.709            8612.025           -297.6455 
 526.87             8409.23             8611.516            8580.751            8611.516           -202.2852 
 526.82             8327.4              8611.007            8580.778            8611.007           -283.6064 
 526.77             8428.49             8610.523            8580.818            8610.523           -182.0332 
 526.72             8470.8              8610.038            8580.843            8610.038           -139.2383 
 526.67             8688.82             8609.559            8580.86             8609.559            79.26172 
 526.62             8589.19             8609.057            8580.843            8609.057           -19.86621 
 526.57             8820.49             8608.583            8580.842            8608.583            211.9072 
 526.52             8873.53             8608.084            8580.804            8608.084            265.4463 
 526.47             8479.03             8607.588            8580.757            8607.588           -128.5576 
 526.42             8662.24             8607.165            8580.773            8607.165            55.0752 
 526.37             8517.83             8606.725            8580.761            8606.725           -88.89453 
 526.32             8531.95             8606.316            8580.771            8606.316           -74.36621 
 526.27             8760.32             8605.916            8580.778            8605.916            154.4043 
 526.22             8598.59             8605.489            8580.75             8605.489           -6.899414 
 526.17             8520.86             8605.097            8580.747            8605.097           -84.23633 
 526.12             8705.64             8604.726            8580.756            8604.726            100.9141 
 526.07             8521.87             8604.335            8580.736            8604.335           -82.46484 
 526.02             8669.37             8603.981            8580.746            8603.981            65.38867 
 525.97             8754.64             8603.612            8580.731            8603.612            151.0273 
 525.92             8761.19             8603.238            8580.704            8603.238            157.9521 
 525.87             8613.78             8602.87             8580.676            8602.87             10.91016 
 525.82             8504.12             8602.533            8580.67             8602.533           -98.41309 
 525.77             8485.41             8602.222            8580.683            8602.222           -116.8115 
 525.72             8794.87             8601.919            8580.697            8601.919            192.9512 
 525.67             8675.19             8601.574            8580.663            8601.574            73.61621 
 525.62             8498.89             8601.257            8580.648            8601.257           -102.3672 
 525.57             8761.18             8600.972            8580.661            8600.972            160.208 
 525.52             8373.76             8600.653            8580.633            8600.653           -226.8936 
 525.47             8468.27             8600.401            8580.666            8600.401           -132.1318 
 525.42             8268.62             8600.141            8580.684            8600.141           -331.5205 
 525.37             8417.37             8599.918            8580.733            8599.918           -182.5479 
 525.32             8485.68             8599.676            8580.759            8599.676           -113.9961 
 525.27             8788.38             8599.43             8580.774            8599.43             188.9502 
 525.22             8565.88             8599.14             8580.741            8599.14            -33.25977 
 525.17             8807.14             8598.891            8580.743            8598.891            208.249 
 525.12             8669.27             8598.609            8580.708            8598.609            70.66016 
 525.07             8181.99             8598.354            8580.693            8598.354           -416.3633 
 525.02             8559.98             8598.181            8580.757            8598.181           -38.2002 
 524.97             8376.43             8597.952            8580.76             8597.952           -221.5225 
 524.92             8788.02             8597.758            8580.793            8597.758            190.2617 
 524.87             8690.37             8597.502            8580.76             8597.502            92.86816 
 524.82             8769.98             8597.267            8580.742            8597.267            172.7139 
 524.77             8780.47             8597.022            8580.712            8597.022            183.4473 
 524.72             8629.61             8596.78             8580.681            8596.78             32.83008 
 524.67             8318.89             8596.566            8580.673            8596.566           -277.6768 
 524.62             8419.73             8596.405            8580.714            8596.405           -176.6748 
 524.57             8671.4              8596.233            8580.74             8596.233            75.16699 
 524.52             8349.6              8596.024            8580.726            8596.024           -246.4248 
 524.47             8408.16             8595.869            8580.762            8595.869           -187.709 
 524.42             8443.29             8595.71             8580.79             8595.71            -152.4199 
 524.37             8317.6              8595.548            8580.812            8595.548           -277.9482 
 524.32             8311.04             8595.409            8580.854            8595.409           -284.3691 
 524.27             8700.07             8595.274            8580.896            8595.274            104.7959 
 524.22             8603.8              8595.081            8580.877            8595.081            8.71875 
 524.17             8603.45             8594.906            8580.873            8594.906            8.543945 
 524.12             8733.4              8594.735            8580.87             8594.735            138.665 
 524.07             8521.19             8594.546            8580.846            8594.546           -73.35547 
 524.02             8427.61             8594.394            8580.855            8594.394           -166.7832 
