B.E.(eV)           Raw Intensity       Peak Sum            Background          Peak 1              Peak 2              Peak 3              Peak 4              Peak 5              Peak 6              difference
 33.67              393.537             374.2379            362.4953            362.5181            362.5583            362.5512            362.6057            362.6724            373.8085            19.2991 
 33.62              344.99              374.2951            362.4196            362.4425            362.4828            362.4758            362.5306            362.5977            373.8637           -29.30515 
 33.57              371.557             374.4741            362.4621            362.485             362.5256            362.5185            362.5737            362.6413            374.0405           -2.917084 
 33.52              372.025             374.5919            362.4399            362.463             362.5036            362.4966            362.5521            362.6201            374.1562           -2.566895 
 33.47              371.004             374.7123            362.4166            362.4397            362.4805            362.4735            362.5293            362.5978            374.2745           -3.708313 
 33.42              380.284             374.8391            362.3957            362.4189            362.4599            362.4529            362.5089            362.5779            374.3991            5.444885 
 33.37              385.514             374.9473            362.3521            362.3753            362.4165            362.4095            362.4659            362.5354            374.5051            10.56674 
 33.32              342.401             375.0468            362.2956            362.319             362.3603            362.3533            362.41              362.48              374.6024           -32.64584 
 33.27              342.741             375.2557            362.3441            362.3675            362.409             362.402             362.4591            362.5296            374.8091           -32.51474 
 33.22              382.389             375.4686            362.3919            362.4154            362.457             362.45              362.5074            362.5784            375.0197            6.920441 
 33.17              378.343             375.5897            362.3431            362.3667            362.4085            362.4016            362.4593            362.5308            375.1386            2.753296 
 33.12              386.795             375.7256            362.3041            362.3278            362.3698            362.3628            362.4208            362.4929            375.2722            11.06943 
 33.07              358.183             375.8461            362.2444            362.2682            362.3103            362.3034            362.3618            362.4343            375.3904           -17.66306 
 33.02              350.548             376.0416            362.2544            362.2782            362.3205            362.3136            362.3723            362.4453            375.5836           -25.49362 
 32.97              398.715             376.2615            362.2829            362.3068            362.3493            362.3424            362.4014            362.475             375.8011            22.45352 
 32.92              363.962             376.3699            362.1941            362.2181            362.2607            362.2538            362.3132            362.3873            375.9072           -12.40787 
 32.87              340.028             376.569             362.1898            362.2139            362.2567            362.2498            362.3095            362.3842            376.1039           -36.54099 
 32.82              404.374             376.8329            362.2438            362.2679            362.3109            362.304             362.3641            362.4393            376.3654            27.54114 
 32.77              384.15              376.9468            362.1411            362.1654            362.2085            362.2017            362.2621            362.3378            376.4769            7.203186 
 32.72              361.349             377.1167            362.0875            362.1118            362.1551            362.1483            362.209             362.2854            376.6445           -15.7677 
 32.67              359.368             377.3494            362.0893            362.1137            362.1572            362.1503            362.2115            362.2884            376.8747           -17.98141 
 32.62              369.284             377.5946            362.0959            362.1204            362.1641            362.1573            362.2188            362.2962            377.1174           -8.310577 
 32.57              361.645             377.8235            362.0784            362.103             362.1468            362.14              362.2019            362.2799            377.3439           -16.17856 
 32.52              382.125             378.0793            362.0794            362.1041            362.1481            362.1414            362.2036            362.2822            377.5971            4.045746 
 32.47              394.246             378.2937            362.0306            362.0554            362.0995            362.0928            362.1554            362.2346            377.809             15.95233 
 32.42              400.388             378.4874            361.9521            361.9769            362.0213            362.0145            362.0775            362.1573            378.0002            21.9006 
 32.37              382.893             378.6753            361.8584            361.8833            361.9279            361.9212            361.9845            362.0649            378.1855            4.217682 
 32.32              390.82              378.9153            361.8071            361.8322            361.8769            361.8702            361.9339            362.0149            378.4229            11.90469 
 32.27              360.24              379.146             361.7364            361.7615            361.8064            361.7997            361.8639            361.9455            378.651            -18.90598 
 32.22              363.926             379.4615            361.7401            361.7653            361.8103            361.8037            361.8682            361.9504            378.9639           -15.53546 
 32.17              370.248             379.779             361.7347            361.76              361.8053            361.7986            361.8635            361.9464            379.2787           -9.530975 
 32.12              381.973             380.0924            361.714             361.7393            361.7848            361.7782            361.8435            361.9269            379.5895            1.880585 
 32.07              403.181             380.389             361.6646            361.6901            361.7357            361.7291            361.7948            361.8789            379.8834            22.79196 
 32.02              388.015             380.6461            361.5634            361.589             361.6348            361.6282            361.6943            361.7791            380.1378            7.368866 
 31.97              378.924             380.9528            361.499             361.5246            361.5706            361.5641            361.6306            361.716             380.4417           -2.028778 
 31.92              390.696             381.2946            361.4565            361.4822            361.5284            361.5219            361.5888            361.6749            380.7808            9.401367 
 31.87              376.267             381.6216            361.3852            361.4111            361.4575            361.451             361.5182            361.605             381.1049           -5.354553 
 31.82              404.554             381.9978            361.349             361.3749            361.4215            361.415             361.4827            361.5701            381.4784            22.55621 
 31.77              388.495             382.3198            361.2437            361.2697            361.3165            361.31              361.3782            361.4662            381.7976            6.175171 
 31.72              403.229             382.6963            361.1773            361.2034            361.2504            361.2439            361.3125            361.4013            382.1712            20.53271 
 31.67              423.657             383.0526            361.0748            361.101             361.1481            361.1417            361.2107            361.3002            382.5246            40.60446 
 31.62              338.884             383.3755            360.9223            360.9486            360.9959            360.9896            361.059             361.1491            382.8446           -44.49152 
 31.57              331.725             383.9219            360.976             361.0024            361.0499            361.0436            361.1135            361.2043            383.3881           -52.1969 
 31.52              375.854             384.5038            361.0473            361.0738            361.1215            361.1152            361.1855            361.2771            383.967            -8.64975 
 31.47              415.186             384.9968            361.0112            361.0378            361.0858            361.0794            361.1502            361.2425            384.4571            30.18921 
 31.42              432.417             385.413             360.8792            360.9059            360.954             360.9477            361.0189            361.112             384.8703            47.00397 
 31.37              429.28              385.8069            360.7048            360.7317            360.78              360.7737            360.8454            360.9392            385.2611            43.47314 
 31.32              414.246             386.2285            360.5377            360.5646            360.6132            360.6069            360.679             360.7736            385.6797            28.01749 
 31.27              402.949             386.7077            360.4068            360.4338            360.4825            360.4763            360.5489            360.6442            386.1558            16.24133 
 31.22              368.023             387.2361            360.3031            360.3303            360.3792            360.373             360.446             360.5421            386.6812           -19.21313 
 31.17              385.83              387.8723            360.2843            360.3115            360.3607            360.3545            360.428             360.5249            387.3142           -2.042297 
 31.12              367.155             388.4886            360.222             360.2494            360.2987            360.2926            360.3666            360.4642            387.9273           -21.33359 
 31.07              443.457             389.1747            360.2051            360.2326            360.2821            360.2761            360.3505            360.4489            388.6102            54.28235 
 31.02              389                 389.6999            360.0023            360.0298            360.0796            360.0735            360.1484            360.2477            389.1322           -.6999207 
 30.97              341.236             390.3834            359.9316            359.9592            360.0092            360.0032            360.0786            360.1786            389.8125           -49.1474 
 30.92              374.838             391.2101            359.9771            360.0049            360.0551            360.0491            360.125             360.2259            390.6359           -16.37207 
 30.87              369.9               391.9827            359.9409            359.9688            360.0192            360.0132            360.0896            360.1913            391.4052           -22.08267 
 30.82              350.984             392.7958            359.9166            359.9446            359.9952            359.9893            360.0662            360.1687            392.215            -41.81183 
 30.77              436.711             393.6846            359.9384            359.9665            360.0173            360.0114            360.0888            360.1923            393.1004            43.02637 
 30.72              406.054             394.3951            359.7513            359.7795            359.8305            359.8247            359.9026            360.0069            393.8074            11.65894 
 30.67              338.411             395.211             359.6385            359.6667            359.718             359.7122            359.7906            359.8958            394.62             -56.79996 
 30.62              394.118             396.2239            359.6902            359.7186            359.7701            359.7643            359.8433            359.9493            395.6294           -2.105865 
 30.57              454.814             397.1345            359.6063            359.6348            359.6865            359.6808            359.7603            359.8672            396.5365            57.6795 
 30.52              453.057             397.9312            359.3743            359.4029            359.4548            359.4492            359.5291            359.637             397.3297            55.12576 
 30.47              416.779             398.7669            359.146             359.1747            359.2268            359.2212            359.3017            359.4105            398.1619            18.01205 
 30.42              409.472             399.7268            359.0055            359.0343            359.0867            359.0811            359.1622            359.2719            399.1181            9.745209 
 30.37              428.223             400.7414            358.8825            358.9114            358.9641            358.9585            359.0401            359.1507            400.1291            27.4816 
